单词,音标,中文解释,是否为初中单词
a,ə,indefinite article. 一，一个〔用于未曾提及或对方不知道的人或物的名称前〕,True
ability,əˈbɪləti,n.  能力， 本领； 才能， 才智,True
able,ˈeɪbl,"adj. 能；[经管] 有能力的；能干的
n. (Able)人名；(伊朗)阿布勒；(英)埃布尔",True
about,əˈbaʊt,"prep. 关于；大约
adj. 在附近的；四处走动的；在起作用的
adv. 大约；周围；到处
n. 大致；粗枝大叶；不拘小节的人",True
above,əˈbʌv,"adv.  在上面
adj. 上面的，上述的；上文的
prep. 在…上面，在…上方；多于，大于",True
abroad,əˈbrɔ:d,"adv.  到国外， 在国外； 在传播， 在流传
adj. 国外的",True
absent,ˈæbsənt,adj.  缺席的， 不在场的； 缺乏的， 不存在的； 心不在焉的,True
accept,əkˈsept,"vi.  同意， 认可
vt. 接受，领受；认可；承兑；相信",True
accident,ˈæksɪdənt,n. 意外事件；事故；交通事故；车祸；失事,True
ache,eɪk,"v. 痛，疼痛；渴望
n.  疼痛",True
achieve,əˈtʃi:v,v.  实现， 完成； 获得， 达到,True
across,əˈkrɒs,"adv. 横过；到对面，向对面
prep.  穿过， 越过； 在对面",True
act,ækt,"vi. 行动，做；起作用；表演
vt. 扮演；装出
n.  行为；  法令， 条例； 表演； 幕",True
action,ˈækʃn,n.  行动； 已做的事； 作用， 功能； 情节,True
active,ˈæktɪv,"adj. 积极的；活跃的；主动的；有效的；现役的
n. 主动语态；积极分子",True
activity,ækˈtɪvəti,n.  业务； 活动， 行动； 活跃， 活力,True
actor,ˈæktə(r),n. 男演员；行动者；作用物,True
actress,ˈæktrəs,n. 女演员,True
add,æd,"vi. 增加，补充；相加
vt.  接着讲； 附带说明",True
address,əˈdres,"v. 演说；从事；忙于；写姓名地址；向…致辞；与…说话；提出；处理
n. 地址；演讲；致辞；说话的技巧；称呼",True
advantage,ədˈvɑ:ntɪdʒ,"v. 有利于， 有益于
n. 优点， 长处； 有利条件 <；利益， 好处",True
adventure,ədˈventʃə(r),n.  异乎寻常的经历， 奇遇； 冒险， 冒险活动； 投机买卖,True
advice,ədˈvaɪs,n.  劝告， 忠告； 建议， 意见,True
advise,ədˈvaɪz,"vi.  提供意见， 建议
vt. 劝告，忠告；建议；通知，告知",True
afford,əˈfɔ:d,"v. 给予，提供；买得起
n. (Afford)人名；(英)阿福德",True
afraid,əˈfreɪd,adj.  害怕的， 恐惧的； 犯愁的,True
Africa,'æfrɪkə,n.  非洲,True
African,'æfrikәn,"adj. 非洲的，非洲人的
n. 非洲人",True
after,ˈɑ:ftə(r),"adv. 后来，以后
prep. 在……之后
conj. 在……之后
adj. 以后的",True
afternoon,ˌɑ:ftəˈnu:n,n.  下午， 午后,True
again,əˈgen,adv.  再一次， 又一次； 回到原处， 复原； 再则， 而且,True
against,əˈgenst,prep.  逆， 反； 违反； 对…不利； 紧靠， 倚在； 与…对照， 对比； 用…抵付； 用…交换； 防备， 预防,True
ago,əˈgəʊ,"adv. 以前，以往
adj. 以前的；过去的
n. (Ago)人名；(英、西、意、塞、瑞典)阿戈",True
agree,əˈgri:,vi.  赞同， 答应； 相符， 一致； 商定， 约定； 相宜， 适合,True
agreement,əˈgri:mənt,n.  协议， 约定； 同意； 达成协议； 感情融洽,True
aid,eɪd,"vt. 帮助， 援助， 救援
n. 帮助， 援助， 救护；助手； 辅助物， 辅助设备 A",True
air,eə(r),"v.  晾晒， 风干， 通风换气； 吹风； 发表， 表达； 使公开
n. 空气；气氛；气派，架势，态度；样子，神态；空中；空军；航空；旋律",True
airport,ˈeəpɔ:t,n.  飞机场； 航站楼； 航空港,True
alive,əˈlaɪv,adj.  活着的， 在世的； 存在的， 在起作用的； 有活力的， 活跃的， 有生,True
all,ɔ:l,"adv.  完全地； 十分， 很
adj. 一切的，所有的；全部的，总的，整个的",True
allow,əˈlaʊ,"vi.  考虑到， 顾及； 体谅
vt. 允许，准许；承认；允给",True
almost,ˈɔ:lməʊst,adv.  几乎， 差不多,True
alone,əˈləʊn,"adv.  单独地， 独自地； 只有
adj. 单独的；单单，仅；唯一的",True
along,əˈlɒŋ,"adv. 向前地；一道，一起
prep.  沿着， 循着",True
aloud,əˈlaʊd,adv.  大声地； 出声地,True
already,ɔ:lˈredi,adv. 已经，早已；先前,True
also,ˈɔ:lsəʊ,"adv. 也；而且；同样
conj. 并且；另外
n. (Also)人名；(罗)阿尔索",True
although,ɔ:lˈðəu,conj. 尽管；虽然；但是；然而,True
always,ˈɔ:lweɪz,adv.  总是， 无例外地； 永远， 始终， 一直,True
amazing,əˈmeɪzɪŋ,"adj. 令人惊异的
v. 使吃惊（amaze的ing形式）",True
America,ә'merikә,n. 美洲（包括北美和南美洲）；美国,True
American,ә'merikәn,"n. 美国人，美洲人；美国英语
adj. 美国的，美洲的；地道美国式的",True
among,əˈmʌŋ,prep. 在一群(组)之中；在…之中，于…之间,True
amount,əˈmaʊnt,"v. 总计，合计；相当于；共计；产生…结果
n. 数量；总额，总数",True
ancient,ˈeɪnʃənt,"adj. 古代的；古老的，过时的；年老的
n. 古代人；老人",True
and,ənd,"conj. 和，与；就；而且；但是；然后
n. (And)人名；(土、瑞典)安德",True
angry,ˈæŋgri,adj. 生气的；愤怒的；狂暴的；（伤口等）发炎的,True
animal,ˈænɪml,"n. 动物，兽
adj. 兽欲/动物本能等（animal urges/instincts）",True
another,əˈnʌðə(r),"adj. 又一，另一；另外的；不同的
pron. 另一个；又一个
prep. 另一个；另一个人",True
answer,ˈɑ:nsə(r),"v.  回答， 答复； 解答， 解决； 作
n. 回答，答复；答案，解决办法",True
ant,ænt,n.  蚂蚁,True
any,ˈeni,"adj. 任何的；所有的；丝毫
pron. 任何；任何一个；若干
adv. 稍微；少许
n. (Any)人名；(法、罗)阿尼",True
anybody,ˈenibɒdi,pron.  任何人； 随便哪一个人,True
anyone,ˈeniwʌn,pron.  任何人； 随便哪一个人,True
anything,ˈeniθɪŋ,pron.  无论什么东西， 随便什么事情； 任何东西， 任何事情,True
anywhere,ˈeniweə(r),adv.  在什么地方， 在任何地方； 随便什么地方,True
appear,əˈpɪə(r),v.  出现， 显露， 来到； 看起来好像， 似乎； 产生， 问世； 发表,True
apple,ˈæpl,n. 苹果，苹果树，苹果似的东西；[美俚]炸弹，手榴弹，（棒球的）球；[美俚]人，家伙。,True
April,'eɪprəl,n.  四月,True
Arabic,'ærәbik,"adj. 阿拉伯的；阿拉伯人的
n. 阿拉伯语",True
are,ɑ:(r),"v. 是（be的第二人称单复数现在式）
n. 公亩",True
area,ˈeəriə,n.  面积； 地区， 地域， 地方； 领域， 范围,True
arm,ɑ:m,"v.  以装备； 提供， 配备；
n. 臂，前肢；臂状物，扶手；",True
around,əˈraʊnd,"adv. 在周围，在附近；到处，四周；大约
prep.  在…各处， 遍及； 在…四周； 在",True
arrive,əˈraɪv,"v. 到达；成功；达成；出生
n. (Arrive)人名；(法)阿里夫",True
art,ɑ:t,"n. 艺术；美术；艺术品
adj. 艺术的；艺术品的
v. 是（be的变体）",True
article,ˈɑ:tɪkl,"n. 文章；物品；条款；[语] 冠词
v. 订约将…收为学徒或见习生；使…受协议条款的约束",True
