name,value,date
中国,290787,1
中国,290787,2
美国,100279698,2
中国,290787,3
美国,100279698,3
印度,44671119,3
中国,290787,4
美国,100279698,4
印度,44671119,4
法国,37442946,4
中国,290787,5
美国,100279698,5
印度,44671119,5
法国,37442946,5
德国,36280371,5
中国,290787,6
美国,100279698,6
印度,44671119,6
法国,37442946,6
德国,36280371,6
巴西,35094130,6
中国,290787,7
美国,100279698,7
印度,44671119,7
法国,37442946,7
德国,36280371,7
巴西,35094130,7
韩国,26654729,7
中国,290787,8
美国,100279698,8
印度,44671119,8
法国,37442946,8
德国,36280371,8
巴西,35094130,8
韩国,26654729,8
意大利,24031538,8
中国,290787,9
美国,100279698,9
印度,44671119,9
法国,37442946,9
德国,36280371,9
巴西,35094130,9
韩国,26654729,9
意大利,24031538,9
英国,23977637,9
中国,290787,10
美国,100279698,10
印度,44671119,10
法国,37442946,10
德国,36280371,10
巴西,35094130,10
韩国,26654729,10
意大利,24031538,10
英国,23977637,10
日本,23935445,10
中国,290787,11
美国,100279698,11
印度,44671119,11
法国,37442946,11
德国,36280371,11
巴西,35094130,11
韩国,26654729,11
意大利,24031538,11
英国,23977637,11
日本,23935445,11
俄罗斯,21545351,11
中国,290787,12
美国,100279698,12
印度,44671119,12
法国,37442946,12
德国,36280371,12
巴西,35094130,12
韩国,26654729,12
意大利,24031538,12
英国,23977637,12
日本,23935445,12
俄罗斯,21545351,12
土耳其,17005537,12
中国,290787,13
美国,100279698,13
印度,44671119,13
法国,37442946,13
德国,36280371,13
巴西,35094130,13
韩国,26654729,13
意大利,24031538,13
英国,23977637,13
日本,23935445,13
俄罗斯,21545351,13
土耳其,17005537,13
西班牙,13573721,13
中国,290787,14
美国,100279698,14
印度,44671119,14
法国,37442946,14
德国,36280371,14
巴西,35094130,14
韩国,26654729,14
意大利,24031538,14
英国,23977637,14
日本,23935445,14
俄罗斯,21545351,14
土耳其,17005537,14
西班牙,13573721,14
越南,11512138,14
中国,290787,15
美国,100279698,15
印度,44671119,15
法国,37442946,15
德国,36280371,15
巴西,35094130,15
韩国,26654729,15
意大利,24031538,15
英国,23977637,15
日本,23935445,15
俄罗斯,21545351,15
土耳其,17005537,15
西班牙,13573721,15
越南,11512138,15
澳大利亚,10564087,15
中国,290787,16
美国,100279698,16
印度,44671119,16
法国,37442946,16
德国,36280371,16
巴西,35094130,16
韩国,26654729,16
意大利,24031538,16
英国,23977637,16
日本,23935445,16
俄罗斯,21545351,16
土耳其,17005537,16
西班牙,13573721,16
越南,11512138,16
澳大利亚,10564087,16
阿根廷,9723924,16
中国,290787,17
美国,100279698,17
印度,44671119,17
法国,37442946,17
德国,36280371,17
巴西,35094130,17
韩国,26654729,17
意大利,24031538,17
英国,23977637,17
日本,23935445,17
俄罗斯,21545351,17
土耳其,17005537,17
西班牙,13573721,17
越南,11512138,17
澳大利亚,10564087,17
阿根廷,9723924,17
荷兰,8536849,17
中国,290787,18
美国,100279698,18
印度,44671119,18
法国,37442946,18
德国,36280371,18
巴西,35094130,18
韩国,26654729,18
意大利,24031538,18
英国,23977637,18
日本,23935445,18
俄罗斯,21545351,18
土耳其,17005537,18
西班牙,13573721,18
越南,11512138,18
澳大利亚,10564087,18
阿根廷,9723924,18
荷兰,8536849,18
中国台湾,8193072,18
中国,290787,19
美国,100279698,19
印度,44671119,19
法国,37442946,19
德国,36280371,19
巴西,35094130,19
韩国,26654729,19
意大利,24031538,19
英国,23977637,19
日本,23935445,19
俄罗斯,21545351,19
土耳其,17005537,19
西班牙,13573721,19
越南,11512138,19
澳大利亚,10564087,19
阿根廷,9723924,19
荷兰,8536849,19
中国台湾,8193072,19
伊朗,7559416,19
中国,290787,20
美国,100279698,20
印度,44671119,20
法国,37442946,20
德国,36280371,20
巴西,35094130,20
韩国,26654729,20
意大利,24031538,20
英国,23977637,20
日本,23935445,20
俄罗斯,21545351,20
土耳其,17005537,20
西班牙,13573721,20
越南,11512138,20
澳大利亚,10564087,20
阿根廷,9723924,20
荷兰,8536849,20
中国台湾,8193072,20
伊朗,7559416,20
墨西哥,7125098,20
中国,290787,21
美国,100279698,21
印度,44671119,21
法国,37442946,21
德国,36280371,21
巴西,35094130,21
韩国,26654729,21
意大利,24031538,21
英国,23977637,21
日本,23935445,21
俄罗斯,21545351,21
土耳其,17005537,21
西班牙,13573721,21
越南,11512138,21
澳大利亚,10564087,21
阿根廷,9723924,21
荷兰,8536849,21
中国台湾,8193072,21
伊朗,7559416,21
墨西哥,7125098,21
印度尼西亚,6620317,21
中国,290787,22
美国,100279698,22
印度,44671119,22
法国,37442946,22
德国,36280371,22
巴西,35094130,22
韩国,26654729,22
意大利,24031538,22
英国,23977637,22
日本,23935445,22
俄罗斯,21545351,22
土耳其,17005537,22
西班牙,13573721,22
越南,11512138,22
